Day,Loco1,Loco2,Loco3,Loco4,From,To,Headcode,Train,TrainStartDay,Mileage
Monday,37075,,,,Ely,London Liverpool St,1N51,2247 Norwich - Liverpool St,Sunday,72.80
Monday,Taxi,,,,London Liverpool St,London Victoria,,,,
Monday,73125,,,,London Victoria,Folkestone Central,1V02,0330 Victoria - Dover W. Docks,Monday,70.99
Monday,SR EMU,,,,Folkestone Central,Tonbridge,2W12,0523 Ramsgate - Charing Cross,Monday,40.39
Monday,SR EMU,,,,Tonbridge,London Bridge,2W10,0500 Ramsgate - Charing Cross,Monday,27.65
Monday,Tube,,,,London Bridge,London Victoria,,,,
Monday,SR EMU,,,,London Victoria,Clapham Jn Brighton Line,2J65,0757 Victoria - West Croydon via Crystal Palace,Monday,2.66
Monday,33209,,,,Clapham Jn Brighton Line,Kensington Olympia,2M00,0812 Clapham Jn - Kensington O.,Monday,3.40
Monday,Tube,,,,Kensington Olympia,Ealing Broadway,,,,
Monday,DMU,,,,Ealing Broadway,London Paddington,2A04,0759 Bourne End - Paddington,Monday,5.64
Monday,47501,,,,London Paddington,Reading,1C16,0927 Paddington - Fishguard Harbour,Monday,35.91
Monday,50035,,,,Reading,London Paddington,1V18,0825 Birmingham NS - Paddington,Monday,35.91
Monday,50019,,,,London Paddington,Oxford,1B58,1050 Paddington - Worcester SH,Monday,63.34
Monday,47434,,,,Oxford,Basingstoke,1O13,0812 Leeds - Weymouth,Monday,41.86
Monday,33118,,,,Basingstoke,London Waterloo,1L92,1310 Salisbury - Waterloo,Monday,47.76
Monday,Tube,,,,London Waterloo,London Paddington,,,,
Monday,47901,,,,London Paddington,Cheltenham Spa,1B28,1727 Paddington - Cheltenham,Monday,120.50
Monday,47901,,,,Cheltenham Spa,Bristol Temple Meads,2B79,2126 Cheltenham - Bristol TM,Monday,44.46
Tuesday,45044,,,,Bristol Temple Meads,Worcester SH,1E61,0110 Bristol TM - Sheffield,Tuesday,68.99
Tuesday,46010,,,,Worcester SH,Bristol Temple Meads,1V50,2000 Newcastle - Bristol TM,Monday,68.99
Tuesday,50045,,,,Bristol Temple Meads,Westbury,2B01,0520 Bristol TM - Westbury,Tuesday,28.26
Tuesday,50045,,,,Westbury,Reading,1A33,0642 Westbury - Paddington,Tuesday,59.61
Tuesday,47330,,,,Reading,Birmingham New St,1M38,0625 Poole - Birmingham NS,Tuesday,98.29
Tuesday,86010,,,,Birmingham New St,London Euston,1A31,0940 Shrewsbury - Euston,Tuesday,112.91
Tuesday,86255,,,,London Euston,Birmingham New St,1G30,1240 Euston - Wolverhampton,Tuesday,112.91
Tuesday,46052,,,,Birmingham New St,Derby,1E27,0955 Weymouth - Leeds,Tuesday,41.23
Tuesday,37059,,,,Derby,Bristol Temple Meads,1V91,1143 Newcastle - Bristol TM,Tuesday,131.15
Tuesday,33012,,,,Bristol Temple Meads,Weston Super Mare,2B56,1756 Bristol TM - Weston SM,Tuesday,19.03
Tuesday,37135,,,,Weston Super Mare,Cheltenham Spa,2B49,1840 Weston SM - Worcester SH,Tuesday,66.06
Tuesday,47475,,,,Cheltenham Spa,Bromsgrove Signal G71,1S19,2126 Bristol TM - Glasgow Central,Tuesday,31.25
Tuesday,47475,37244,37254,,Bromsgrove Signal G71,Blackwell,1S19,2126 Bristol TM - Glasgow Central,Tuesday,2.76
Tuesday,47475,,,,Blackwell,Birmingham New St,1S19,2126 Bristol TM - Glasgow Central,Tuesday,11.45
Tuesday,83001,,,,Birmingham New St,Wolverhampton,1S19,2126 Bristol TM - Glasgow Central,Tuesday,12.88
